Symbol	CellType	Source	index	duplicated	prior
CPVL	Macrophages	Tirosh	1289	0	1
CPXM1	CAFs	Tirosh	1460	0	1
CR2	B_cells_memory	LM22	79	1	1
CR2	B_cells_naive	LM22	18	1	1
CRADD	Tregs	Tirosh	1559	0	1
CREB5	Monocytes	LM22	707	1	0
CREB5	Neutrophils	LM22	1095	1	0
CRIP1	Tregs	Tirosh	1566	0	1
CRISP3	Blast_cells_rest	LM22	965	0	1
CRISPLD2	CAFs	Tirosh	1438	0	1
CRTAM	CD8_Tcells	LM22	186	0	1
CRYBB1	Macrophages_M2	LM22	840	0	1
CSF1	Macrophages_M0	LM22	755	1	0
CSF1	Tregs	Tirosh	1567	1	0
CSF1R	Macrophages	Tirosh	1212	1	1
CSF1R	Macrophages_Monocyte	S3_Schelker	1749	1	1
CSF2	Blast_cells_activated	LM22	1001	1	0
CSF2	CD4_memory_act_Tcells	LM22	366	2	0
CSF2	NK_activated	LM22	643	1	0
CSF2RB	Tregs	Tirosh	1705	0	1
CSF3R	Macrophages	Tirosh	1232	1	0
CSF3R	Monocytes	LM22	708	2	0
CSF3R	Neutrophils	LM22	1096	1	0
CSF3R	Neutrophils	Danaher	1863	1	0
CST3	DC	seurat	1824	0	1
CST7	CD8_Tcells	LM22	187	1	0
CST7	NK_activated	LM22	644	2	0
CST7	NK_resting	LM22	587	2	0
CST7	Tcells	Tirosh	1159	2	0
CST7	Tcells_gamma_delta	LM22	532	2	0
CST7	Tregs	Tirosh	1545	1	0
CSTA	Macrophages	Tirosh	1250	0	1
CTGF	CAFs	Tirosh	1482	0	1
CTLA4	CD4_memory_act_Tcells	LM22	367	1	0
CTLA4	CD4_memory_rest_Tcells	LM22	308	2	0
CTLA4	Tcells	Ramin	1799	2	0
CTLA4	Tcells_helper	LM22	408	2	0
CTLA4	Tcells_reg	LM22	469	2	0
CTLA4	Tregs	Tirosh	1506	2	1
CTLA4	Tregs	S3_Schelker	1740	1	1
CTNNB1	Tregs	Tirosh	1600	0	1
CTSA	Tregs	Tirosh	1597	0	1
CTSC	Tregs	Tirosh	1501	0	1
CTSG	Blast_cells_activated	LM22	1002	1	1
CTSG	Blast_cells_rest	LM22	966	1	1
CTSW	CD4_memory_rest_Tcells	LM22	309	1	0
CTSW	CD8_Tcells	LM22	188	2	0
CTSW	NK_activated	LM22	645	2	0
CTSW	NK_resting	LM22	588	1	0
CTSW	Cytotoxic_cells	Danaher	1837	1	0
CXCL10	DC_activated	LM22	919	1	1
CXCL10	Macrophages_M1	LM22	791	1	1
CXCL11	DC_activated	LM22	920	1	1
CXCL11	Macrophages_M1	LM22	792	1	1
CXCL12	CAFs	Tirosh	1472	0	1
CXCL13	CD4_memory_act_Tcells	LM22	368	1	0
CXCL13	Macrophages_M1	LM22	793	2	0
CXCL13	Tcells_helper	LM22	409	1	0
CXCL14	CAFs	Tirosh	1405	0	1
CXCL16	Macrophages	Tirosh	1256	0	1
CXCL3	Blast_cells_activated	LM22	1003	1	0
CXCL3	Macrophages_M0	LM22	756	1	0
CXCL5	Macrophages_M0	LM22	757	0	1
CXCL9	Macrophages_M1	LM22	794	0	1
CXCR1	Neutrophils	LM22	1097	0	1
CXCR2	Neutrophils	LM22	1098	0	1
CXCR3	Tcells_helper	Ramin	1801	1	0
CXCR3	Tregs	Tirosh	1526	1	1
CXCR5	B_cells_memory	LM22	80	1	1
CXCR5	B_cells_naive	LM22	19	2	1
CXCR5	Bcells	Tirosh	1199	2	1
CXCR5	Tcells_helper	LM22	410	1	0
CXCR6	Tcells_gamma_delta	LM22	533	1	0
CXCR6	Tregs	Tirosh	1493	1	1
CXorf57	CD4_naive_Tcells	LM22	252	0	1
CYBRD1	CAFs	Tirosh	1461	0	1
CYP1B1	CAFs	Tirosh	1445	0	1
CYP27A1	DC_activated	LM22	921	1	0
CYP27A1	Macrophages_M0	LM22	758	1	0
CYP27B1	Macrophages_M1	LM22	795	0	1
DACH1	Eosinophils	LM22	1038	0	1
DAPK2	Eosinophils	LM22	1039	0	1
DCN	CAFs	Tirosh	1399	0	1
DCSTAMP	Macrophages_M0	LM22	759	0	1
DDB2	Tregs	Tirosh	1616	0	1
DEFA4	NK_resting	LM22	589	0	1
DENND5B	B_cells_memory	LM22	81	1	0
DENND5B	Plasma_cells	LM22	132	1	0
DEPDC5	Eosinophils	LM22	1040	0	1
DGKA	CD4_memory_rest_Tcells	LM22	310	1	0
DGKA	Tcells_helper	LM22	411	2	0
DGKA	Tcells_reg	LM22	470	1	0
DGUOK	Tregs	Tirosh	1631	0	1
DHRS11	DC_resting	LM22	881	0	1
DHX58	DC_activated	LM22	922	1	0
